# step, loss function, Y0, learning rate, running time
4.400000000000000000e+01,5.116774905377460131e-02,5.069034621645001071e-01,1.000000047497451305e-03,4.227098703384399414e+00
4.500000000000000000e+01,1.165886748395026373e-01,5.065080598053822714e-01,1.000000047497451305e-03,4.241611003875732422e+00
4.600000000000000000e+01,3.714903916837303428e-03,5.059285974961126309e-01,1.000000047497451305e-03,4.256623744964599609e+00
4.700000000000000000e+01,2.608128364083594358e-02,5.060296666491816975e-01,1.000000047497451305e-03,4.272136926651000977e+00
4.800000000000000000e+01,5.989246364664489730e-03,5.057316626960970396e-01,1.000000047497451305e-03,4.286648988723754883e+00
4.900000000000000000e+01,1.637943840181543473e-02,5.058639235815809432e-01,1.000000047497451305e-03,4.301661968231201172e+00
5.000000000000000000e+01,4.233119698775406926e-03,5.056413330111725335e-01,1.000000047497451305e-03,4.316674709320068359e+00
5.100000000000000000e+01,6.554977791035284176e-03,5.055327073986267683e-01,1.000000047497451305e-03,4.331687450408935547e+00
5.200000000000000000e+01,2.332573458478774397e-01,5.053955507591447738e-01,1.000000047497451305e-03,4.347200393676757812e+00
5.300000000000000000e+01,9.200890069946766892e-02,5.043760432652483194e-01,1.000000047497451305e-03,4.362713336944580078e+00
5.400000000000000000e+01,3.322537733848338753e-02,5.038300768897314708e-01,1.000000047497451305e-03,4.378226995468139648e+00
5.500000000000000000e+01,6.835341108781718689e-02,5.035038300719821835e-01,1.000000047497451305e-03,4.393739938735961914e+00
5.600000000000000000e+01,9.980856729874157396e-02,5.030012586602319313e-01,1.000000047497451305e-03,4.409253358840942383e+00
5.700000000000000000e+01,1.873816635124119639e-02,5.024033194144178482e-01,1.000000047497451305e-03,4.427268505096435547e+00
5.800000000000000000e+01,1.463015095409956820e-02,5.021513563899805410e-01,1.000000047497451305e-03,4.442781686782836914e+00
5.900000000000000000e+01,5.095822147586503981e-02,5.019386453860729125e-01,1.000000047497451305e-03,4.458295106887817383e+00
6.000000000000000000e+01,1.693711146238272708e-02,5.014989062353872873e-01,1.000000047497451305e-03,4.473307609558105469e+00
6.100000000000000000e+01,2.096911324698199491e-02,5.012537678514796813e-01,1.000000047497451305e-03,4.488320827484130859e+00
6.200000000000000000e+01,3.161694706141462193e-03,5.009972047397234229e-01,1.000000047497451305e-03,4.503333091735839844e+00
6.300000000000000000e+01,2.861914348185860910e-03,5.008984455234958277e-01,1.000000047497451305e-03,4.518846988677978516e+00
6.400000000000000000e+01,5.481583245811477018e-03,5.008100780382168660e-01,1.000000047497451305e-03,4.533858537673950195e+00
6.500000000000000000e+01,8.084995225694889542e-02,5.006723517374016552e-01,1.000000047497451305e-03,4.548871994018554688e+00
6.600000000000000000e+01,1.178348572009972478e-01,5.001346858830711950e-01,1.000000047497451305e-03,4.563884496688842773e+00
6.700000000000000000e+01,4.016095690819702912e-02,4.995043764632628447e-01,1.000000047497451305e-03,4.578897476196289062e+00
6.800000000000000000e+01,5.233510716135100077e-02,4.991301847447405793e-01,1.000000047497451305e-03,4.594410419464111328e+00
6.900000000000000000e+01,2.803707966777597331e-04,4.994886835644173906e-01,1.000000047497451305e-03,4.608922958374023438e+00
7.000000000000000000e+01,3.781644105399185884e-02,4.995139288642481135e-01,1.000000047497451305e-03,4.624436140060424805e+00
7.100000000000000000e+01,1.751966373268897762e-03,4.991689489225301646e-01,1.000000047497451305e-03,4.639448881149291992e+00
7.200000000000000000e+01,4.490440257852708339e-02,4.990988424073986574e-01,1.000000047497451305e-03,4.654962062835693359e+00
7.300000000000000000e+01,1.106129039393364960e-01,4.986754090246081073e-01,1.000000047497451305e-03,4.670475006103515625e+00
7.400000000000000000e+01,2.518196275542014528e-02,4.980246877541592565e-01,1.000000047497451305e-03,4.684987306594848633e+00
7.500000000000000000e+01,4.860942019789255344e-03,4.977440058419114188e-01,1.000000047497451305e-03,4.700500488281250000e+00
7.600000000000000000e+01,3.070620832993790211e-02,4.976245287891122304e-01,1.000000047497451305e-03,4.715513229370117188e+00
7.700000000000000000e+01,6.380476976621726574e-03,4.972899729373125299e-01,1.000000047497451305e-03,4.730525732040405273e+00
7.800000000000000000e+01,1.203160880015385209e-03,4.971518011001795356e-01,1.000000047497451305e-03,4.745538711547851562e+00
7.900000000000000000e+01,4.251022763672077749e-04,4.970979198605763316e-01,1.000000047497451305e-03,4.760551452636718750e+00
8.000000000000000000e+01,3.244683963097213381e-02,4.970632223888871160e-01,1.000000047497451305e-03,4.775564193725585938e+00
8.100000000000000000e+01,4.954913416380136992e-04,4.967521565730070865e-01,1.000000047497451305e-03,4.791076898574829102e+00
8.200000000000000000e+01,2.309355088386632563e-03,4.967870604537012458e-01,1.000000047497451305e-03,4.808091878890991211e+00
8.300000000000000000e+01,1.806141867023028282e-03,4.967049607822425772e-01,1.000000047497451305e-03,4.823605060577392578e+00
8.400000000000000000e+01,5.511534544241868810e-03,4.967771052064052784e-01,1.000000047497451305e-03,4.838617801666259766e+00
8.500000000000000000e+01,1.759702672807128207e-02,4.966488098085526381e-01,1.000000047497451305e-03,4.854131221771240234e+00
8.600000000000000000e+01,1.627818661077254023e-02,4.964156695370141037e-01,1.000000047497451305e-03,4.869143724441528320e+00
8.700000000000000000e+01,1.783042150105538376e-02,4.961974992806602591e-01,1.000000047497451305e-03,4.884656906127929688e+00
8.800000000000000000e+01,2.743955944010170451e-04,4.959397703442552374e-01,1.000000047497451305e-03,4.900669813156127930e+00
8.900000000000000000e+01,4.012969558581738094e-05,4.959151435724485357e-01,1.000000047497451305e-03,4.915683269500732422e+00
9.000000000000000000e+01,6.909227929355590825e-02,4.959097027819678316e-01,1.000000047497451305e-03,4.930696010589599609e+00
9.100000000000000000e+01,1.581906566196691856e-03,4.954271127446454592e-01,1.000000047497451305e-03,4.946209192276000977e+00
9.200000000000000000e+01,7.841436092161739591e-02,4.953634068498168896e-01,1.000000047497451305e-03,4.961722373962402344e+00
9.300000000000000000e+01,3.255572468023262139e-02,4.948600221318410486e-01,1.000000047497451305e-03,4.976735115051269531e+00
9.400000000000000000e+01,2.189439820003170889e-02,4.945499677504157643e-01,1.000000047497451305e-03,4.991246461868286133e+00
9.500000000000000000e+01,9.908509268862650265e-03,4.942823022707606984e-01,1.000000047497451305e-03,5.006259918212890625e+00
9.600000000000000000e+01,1.367065684358216016e-01,4.941068682182004901e-01,1.000000047497451305e-03,5.021273136138916016e+00
9.700000000000000000e+01,4.875739425337958458e-05,4.933317163549001405e-01,1.000000047497451305e-03,5.036786079406738281e+00
9.800000000000000000e+01,2.532030594306632423e-02,4.933289435310542204e-01,1.000000047497451305e-03,5.052299261093139648e+00
9.900000000000000000e+01,3.693305215400858460e-02,4.930501803711905828e-01,1.000000047497451305e-03,5.067312002182006836e+00
1.000000000000000000e+02,1.147728692139307963e-02,4.926907244334673419e-01,1.000000047497451305e-03,5.082824707031250000e+00
1.010000000000000000e+02,5.760409297342657109e-02,4.924982437559020654e-01,1.000000047497451305e-03,5.100339651107788086e+00
1.020000000000000000e+02,6.281012941097004199e-02,4.920584572747542795e-01,1.000000047497451305e-03,5.115853309631347656e+00
1.030000000000000000e+02,2.982086581918612714e-02,4.915898659977903651e-01,1.000000047497451305e-03,5.130865812301635742e+00
1.040000000000000000e+02,6.107127871260505103e-02,4.912868126307415872e-01,1.000000047497451305e-03,5.145878791809082031e+00
1.050000000000000000e+02,4.529843785502427186e-04,4.908546227819028940e-01,1.000000047497451305e-03,5.160891294479370117e+00
1.060000000000000000e+02,5.295462609394353815e-02,4.908879103804438815e-01,1.000000047497451305e-03,5.176404237747192383e+00
1.070000000000000000e+02,1.736884599779814310e-03,4.904457016892966870e-01,1.000000047497451305e-03,5.191417217254638672e+00
1.080000000000000000e+02,1.662244501700753108e-01,4.903762351617264037e-01,1.000000047497451305e-03,5.206430196762084961e+00
1.090000000000000000e+02,4.128648140747213924e-02,4.896301086315144047e-01,1.000000047497451305e-03,5.221442937850952148e+00
1.100000000000000000e+02,1.266954553165693942e-01,4.892814887506270471e-01,1.000000047497451305e-03,5.236955881118774414e+00
1.110000000000000000e+02,2.247135266906451212e-02,4.886172599574666875e-01,1.000000047497451305e-03,5.251968383789062500e+00
1.120000000000000000e+02,7.542492524003091559e-02,4.883677425512372161e-01,1.000000047497451305e-03,5.266981363296508789e+00
1.130000000000000000e+02,2.560103110978986102e-02,4.878481024483127260e-01,1.000000047497451305e-03,5.282494783401489258e+00
1.140000000000000000e+02,5.234468742921304096e-02,4.875642160802893810e-01,1.000000047497451305e-03,5.297506809234619141e+00
1.150000000000000000e+02,2.687074527256684900e-02,4.871739476332468954e-01,1.000000047497451305e-03,5.312520265579223633e+00
1.160000000000000000e+02,1.566546969819588020e-01,4.868691726890748694e-01,1.000000047497451305e-03,5.327032566070556641e+00
1.170000000000000000e+02,2.772844768424479467e-01,4.861168552014420996e-01,1.000000047497451305e-03,5.342045068740844727e+00
1.180000000000000000e+02,2.321343747067033253e-02,4.850845224137539935e-01,1.000000047497451305e-03,5.357558250427246094e+00
1.190000000000000000e+02,1.977527537626923848e-01,4.853254899497470021e-01,1.000000047497451305e-03,5.372570753097534180e+00
1.200000000000000000e+02,1.371565945535697384e-01,4.845341217520980348e-01,1.000000047497451305e-03,5.389084577560424805e+00
1.210000000000000000e+02,7.308953439207828071e-03,4.838548243335916710e-01,1.000000047497451305e-03,5.406099796295166016e+00
1.220000000000000000e+02,1.734506810885924621e-03,4.839965958025738701e-01,1.000000047497451305e-03,5.421612262725830078e+00
1.230000000000000000e+02,1.965036833734972940e-02,4.839268173870824863e-01,1.000000047497451305e-03,5.437126159667968750e+00
1.240000000000000000e+02,8.008439898053505701e-02,4.841566294257344527e-01,1.000000047497451305e-03,5.453639984130859375e+00
1.250000000000000000e+02,3.139946838637816540e-02,4.836192528001773683e-01,1.000000047497451305e-03,5.471654653549194336e+00
1.260000000000000000e+02,1.644091063854883905e-01,4.833060315059766743e-01,1.000000047497451305e-03,5.486667633056640625e+00
