# step, loss function, Y0, learning rate, running time
6.200000000000000000e+01,6.203179690884975344e+02,4.169297792018599580e+01,1.000000000000000000e+00,2.607570123672485352e+01
6.300000000000000000e+01,5.376967069864558653e+02,4.217697648468814720e+01,1.000000000000000000e+00,2.616285920143127441e+01
6.400000000000000000e+01,6.222734510445980050e+02,4.264606707861643287e+01,1.000000000000000000e+00,2.625283670425415039e+01
6.500000000000000000e+01,6.184448173695643618e+02,4.310850556314635895e+01,1.000000000000000000e+00,2.633629870414733887e+01
6.600000000000000000e+01,8.063215639903153260e+02,4.356448177379547104e+01,1.000000000000000000e+00,2.642607426643371582e+01
6.700000000000000000e+01,4.905574940626391367e+02,4.404292454388701117e+01,1.000000000000000000e+00,2.651052880287170410e+01
6.800000000000000000e+01,5.298731674066028745e+02,4.451759178511055381e+01,1.000000000000000000e+00,2.659708213806152344e+01
6.900000000000000000e+01,5.262231770596393972e+02,4.500320733871519252e+01,1.000000000000000000e+00,2.668086075782775879e+01
7.000000000000000000e+01,4.694853208595125693e+02,4.548202087640831337e+01,1.000000000000000000e+00,2.676705479621887207e+01
7.100000000000000000e+01,4.291160900932422351e+02,4.595266717212554397e+01,1.000000000000000000e+00,2.685073232650756836e+01
7.200000000000000000e+01,4.637689403860739503e+02,4.641181563695928958e+01,1.000000000000000000e+00,2.693780398368835449e+01
7.300000000000000000e+01,5.650277173084272135e+02,4.685135454573119063e+01,1.000000000000000000e+00,2.702156019210815430e+01
7.400000000000000000e+01,4.448414162291101093e+02,4.730041222666272915e+01,1.000000000000000000e+00,2.710811066627502441e+01
7.500000000000000000e+01,4.841600295898978743e+02,4.773824417320467717e+01,1.000000000000000000e+00,2.719592595100402832e+01
7.600000000000000000e+01,5.140883264202151395e+02,4.816808110611971472e+01,1.000000000000000000e+00,2.728040099143981934e+01
7.700000000000000000e+01,6.816598386167005401e+02,4.859023598491749851e+01,1.000000000000000000e+00,2.736688756942749023e+01
7.800000000000000000e+01,5.657222106724461810e+02,4.900938978317135764e+01,1.000000000000000000e+00,2.745388889312744141e+01
7.900000000000000000e+01,6.221523631635479887e+02,4.942889275462976428e+01,1.000000000000000000e+00,2.754241442680358887e+01
8.000000000000000000e+01,6.721814722022661499e+02,4.985742669926017356e+01,1.000000000000000000e+00,2.762666702270507812e+01
8.100000000000000000e+01,4.739589129600457795e+02,5.028614003506483954e+01,1.000000000000000000e+00,2.771173930168151855e+01
8.200000000000000000e+01,5.607497624516456654e+02,5.071310257615884609e+01,1.000000000000000000e+00,2.779723191261291504e+01
8.300000000000000000e+01,4.409126710667603106e+02,5.113566258703765044e+01,1.000000000000000000e+00,2.788252973556518555e+01
8.400000000000000000e+01,5.363308197935967883e+02,5.153950587868713740e+01,1.000000000000000000e+00,2.796978092193603516e+01
8.500000000000000000e+01,4.982530005844320158e+02,5.193304005669117629e+01,1.000000000000000000e+00,2.805721688270568848e+01
8.600000000000000000e+01,4.947688486900853491e+02,5.231751063239325816e+01,1.000000000000000000e+00,2.814445996284484863e+01
8.700000000000000000e+01,4.284034527915030708e+02,5.270193671349065312e+01,1.000000000000000000e+00,2.822957277297973633e+01
8.800000000000000000e+01,5.090035840403618295e+02,5.307287104850204429e+01,1.000000000000000000e+00,2.831510186195373535e+01
8.900000000000000000e+01,5.717667096987124751e+02,5.344494493574770644e+01,1.000000000000000000e+00,2.840159964561462402e+01
9.000000000000000000e+01,4.792307807538074940e+02,5.382065508598167725e+01,1.000000000000000000e+00,2.848845767974853516e+01
9.100000000000000000e+01,4.799150065991269116e+02,5.418992167396936566e+01,1.000000000000000000e+00,2.857838773727416992e+01
9.200000000000000000e+01,3.305322069507217293e+02,5.456064160288561027e+01,1.000000000000000000e+00,2.866187930107116699e+01
9.300000000000000000e+01,3.773633045520179508e+02,5.491211033598605695e+01,1.000000000000000000e+00,2.874775147438049316e+01
9.400000000000000000e+01,3.990662231611649418e+02,5.526181205524883211e+01,1.000000000000000000e+00,2.883291649818420410e+01
9.500000000000000000e+01,5.931215048531115599e+02,5.560767810995798754e+01,1.000000000000000000e+00,2.892040395736694336e+01
9.600000000000000000e+01,3.751410831859282666e+02,5.597347199162053499e+01,1.000000000000000000e+00,2.900671601295471191e+01
9.700000000000000000e+01,4.383951346386824071e+02,5.634712054760050393e+01,1.000000000000000000e+00,2.909085583686828613e+01
9.800000000000000000e+01,4.090285885199741642e+02,5.671513115770430602e+01,1.000000000000000000e+00,2.918080949783325195e+01
9.900000000000000000e+01,3.806701560478309716e+02,5.707773877050627220e+01,1.000000000000000000e+00,2.926494574546813965e+01
1.000000000000000000e+02,5.083374689580153927e+02,5.744408231519368968e+01,1.000000000000000000e+00,2.935201930999755859e+01
1.010000000000000000e+02,2.941088808207577472e+02,5.778982721887620500e+01,1.000000000000000000e+00,2.944257235527038574e+01
1.020000000000000000e+02,3.123854958631122258e+02,5.813300637919257241e+01,1.000000000000000000e+00,2.952708840370178223e+01
1.030000000000000000e+02,3.343653460343879260e+02,5.844705438175235912e+01,1.000000000000000000e+00,2.961565089225769043e+01
1.040000000000000000e+02,3.130345867212342910e+02,5.876035418404087096e+01,1.000000000000000000e+00,2.970014595985412598e+01
1.050000000000000000e+02,3.450130835094571466e+02,5.907462185596780557e+01,1.000000000000000000e+00,2.978619074821472168e+01
1.060000000000000000e+02,2.411119586049138093e+02,5.936311275324837311e+01,1.000000000000000000e+00,2.986965346336364746e+01
1.070000000000000000e+02,2.621905113279265720e+02,5.963816644933388034e+01,1.000000000000000000e+00,2.995671772956848145e+01
1.080000000000000000e+02,3.677274434335970454e+02,5.989884382237724481e+01,1.000000000000000000e+00,3.004296755790710449e+01
1.090000000000000000e+02,2.687825251300305922e+02,6.014808246967606209e+01,1.000000000000000000e+00,3.012757182121276855e+01
1.100000000000000000e+02,3.043370003476699708e+02,6.039357011033617795e+01,1.000000000000000000e+00,3.021513652801513672e+01
1.110000000000000000e+02,3.762243892001752101e+02,6.062251549221178948e+01,1.000000000000000000e+00,3.029862761497497559e+01
1.120000000000000000e+02,3.308802320870915992e+02,6.087106504723956135e+01,1.000000000000000000e+00,3.038281583786010742e+01
1.130000000000000000e+02,2.803241566664657967e+02,6.112825405716714045e+01,1.000000000000000000e+00,3.046788668632507324e+01
1.140000000000000000e+02,3.120050767645759038e+02,6.137451222695617048e+01,1.000000000000000000e+00,3.055184197425842285e+01
1.150000000000000000e+02,2.123237142867183991e+02,6.159712043469657061e+01,1.000000000000000000e+00,3.063689351081848145e+01
1.160000000000000000e+02,3.874696510223922132e+02,6.180759232854698126e+01,1.000000000000000000e+00,3.072402691841125488e+01
